id,x,y,z,AG,AHP6,ANT,AP1,AP2,AP3,AS1,CLV3,CUC1_2_3,ETTIN,FIL,LFY,MP,PHB_PHV,PI,PUCHI,REV,SEP1,SEP2,SEP3,STM,SUP,SVP,WUS,vol,curv1,curv2,mean_curv,gauss_curv,dev_curv,dist_to_center,gene_PC1_value,gene_PC2_value,shape_PC1_value,shape_PC2_value,gene_cluster_gmm,gene_cluster_kmeans,shape_cluster_gmm,shape_cluster_kmeans
583,35.540930613339576,77.633353889597,35.984532680076526,0.0229115,0.00715579,0.736513,0.973811,0.973811,0.157771,0.736513,0.00100042,0.21573,0.12339,0.0970479,0.736513,0.990258,0.816256,0.157771,0.0,0.816256,0.996569,0.996569,0.0263423,0.257439,0.0,0.0,0.00107751,112.98085005839042,0.024444615687114,-0.0168075446958163,0.0038185354956488,-0.0004170411719081,0.0206260801914651,32.93055419589216,1.2071826867465072,1.2432368803796554,-1.3436421728782402,-0.017734278697935868,2,2,2,2
585,54.45651529838803,80.45700406307176,37.28266388261127,0.0281161,0.0143186,0.640718,0.968606,0.968606,0.3203,0.640718,0.0010022,0.305773,0.0626266,0.0310019,0.640718,0.990258,0.949785,0.3203,0.0,0.949785,0.996568,0.996568,0.0316247,0.353234,0.0,0.0,0.00110279,107.83653300246714,0.0245413792765989,-0.0741143876898868,-0.0247865042066439,-0.0018167990804136,0.0493278834832429,28.939735203086503,0.40599775265367255,1.7724900693193635,-3.985251994152481,2.8416052507191605,2,2,2,2
587,82.68891720360361,49.253508171010616,36.5065474614218,0.0207501,0.0192662,0.217463,0.975972,0.975972,0.734002,0.217463,0.00100043,0.727291,0.063798,0.036836,0.217463,0.989566,0.942698,0.734002,0.0,0.942698,0.996568,0.996568,0.026962,0.776482,0.0,0.0,0.00108245,98.924422836974,-0.0249757730427796,-0.0951953127491454,-0.0600855428959625,0.0024667279079063,0.0351097698531828,27.253592721651174,-1.5898280196218966,3.362786323908935,-3.7605713058220167,0.049146860895042305,1,1,2,2
588,22.171627305204815,62.88040310872089,36.31742728076314,0.0165611,0.0672399,0.794787,0.980161,0.980161,0.0330939,0.794787,0.00100042,0.157053,0.793055,0.77326,0.794787,0.989991,0.0737726,0.0330939,0.0,0.0737726,0.996569,0.996569,0.0197955,0.199142,0.0,0.0,0.00107738,101.8892436445044,0.0409303831313271,-0.0001869259168082,0.0203717286072594,4.642662082721042e-05,0.0205586545240677,35.28640080818409,3.2969377127705513,-0.28182200073791636,-0.10492821462789842,0.14822586616522704,3,3,1,0
600,97.63978158153996,40.41194975296392,36.559535879834506,0.0165457,0.0747719,0.939599,0.980174,0.980174,0.0212704,0.939599,0.00100042,0.0183408,0.923258,0.90348,0.939599,0.989461,0.0764171,0.0212704,0.0,0.0764171,0.996566,0.996566,0.0197781,0.0538008,0.0,0.0,0.00107738,109.55718793540888,0.1057262576829661,0.0185860691794438,0.062156163431205,0.0020082566810579,0.0435700942517611,43.54374000618559,3.937415607251056,-0.8600971270154509,3.326344115498792,2.9428051395064836,3,3,1,1
602,24.771820503217025,65.53735646794894,36.32640209755636,0.0166651,0.00969651,0.166507,0.980057,0.980057,0.0360013,0.166507,0.00100042,0.786931,0.172811,0.152912,0.166507,0.990079,0.0686305,0.0360013,0.0,0.0686305,0.996569,0.996569,0.019899,0.827436,0.0,0.0,0.00107738,51.840244774527,0.0239468062001207,-0.0046349506143756,0.0096559277928725,-5.128156340499586e-05,0.0142908784072481,33.84611820376343,0.48380619894666355,2.3242216005717236,-0.7577802326151315,-0.6641676625894353,2,2,0,0
609,65.30562709589654,77.8217827708942,38.02662544931224,0.100234,0.00695327,0.109518,0.896489,0.896489,0.850826,0.109518,0.00100977,0.764971,0.127366,0.0236172,0.109518,0.990258,0.957044,0.850826,0.0,0.957044,0.996569,0.996569,0.103749,0.884434,0.0,0.0,0.00135413,94.83014648371773,0.0342644442722276,-0.0470039597237534,-0.0063697577257628,-0.0015758449794285,0.0406342019979905,28.03196094587078,-2.398976169383856,3.316393472292707,-2.7855329970426594,2.0524611239506534,1,1,2,2
611,80.84165382955577,56.498967836446056,37.13848435479765,0.0963569,0.00657669,0.040412,0.900366,0.900366,0.917636,0.040412,0.00100044,0.834222,0.126728,0.0233275,0.040412,0.99025,0.956706,0.917636,0.0,0.956706,0.996568,0.996568,0.103401,0.95354,0.0,0.0,0.00108288,68.1291114730422,-0.0091294978127069,-0.0654661594350894,-0.0372978286238981,0.0008175506721973,0.0281683308111912,25.77145756601977,-2.721510545759184,3.5860253625697713,-3.2997828535648317,-0.15587291250458785,1,1,2,2
612,93.06272636800394,43.96454121742336,37.72066789229422,0.0165544,0.113173,0.935631,0.980166,0.980166,0.0251302,0.935631,0.00100042,0.0223953,0.758556,0.738768,0.935631,0.989584,0.241041,0.0251302,0.0,0.241041,0.996566,0.996566,0.0197877,0.0579642,0.0,0.0,0.00107738,143.62615560765548,0.0398721287449342,-0.0134559367381874,0.0132080960033734,-0.0001673934114243,0.0266640327415608,38.26257837276888,3.602151480495247,-0.5945773674281554,-0.5775423690391448,0.8521727239255221,3,3,2,2
617,73.97419516382823,72.81369005973912,37.22053694254156,0.728401,0.00663993,0.0448413,0.268321,0.268321,0.912694,0.0448413,0.00101206,0.198774,0.75806,0.0233184,0.0448413,0.990258,0.954784,0.912694,0.0,0.954784,0.996568,0.996568,0.734742,0.949111,0.0,0.0,0.00119398,60.20527491005919,0.0375649107000466,-0.0098754447127466,0.0138447329936499,-0.0003472932914852,0.0237201777063966,28.14089909281963,-4.466339327267497,-0.5558854625811118,-0.8974363889279513,0.25392290245194094,4,4,2,2
